Frame Number,Class,Confidence,X,Y,Width,Height
15,car,0.5862998962402344,666,263,74,40
15,car,0.569467306137085,97,249,61,44
16,car,0.9466911554336548,216,246,78,53
16,car,0.900249719619751,624,222,64,47
16,car,0.8968818187713623,555,221,56,36
16,car,0.7986124753952026,294,212,60,40
16,truck,0.7329728603363037,666,327,92,75
16,car,0.7031986117362976,699,336,116,94
16,car,0.6875618100166321,251,183,58,36
16,car,0.6266496181488037,464,326,108,76
16,car,0.529528796672821,503,286,86,50
16,car,0.5234116911888123,664,263,75,41
17,car,0.950688362121582,225,247,70,51
17,car,0.92200767993927,556,221,56,36
17,car,0.8826024532318115,295,212,58,39
17,car,0.8353617191314697,624,222,63,48
17,car,0.763798177242279,252,183,58,36
17,truck,0.7383118271827698,667,329,91,74
17,truck,0.7119447588920593,704,353,115,84
17,truck,0.6995636224746704,467,312,102,87
17,car,0.6002272963523865,207,209,54,33
17,car,0.5221601128578186,504,285,85,51
17,car,0.5153942704200745,665,263,75,42
18,car,0.9596120715141296,228,245,70,53
18,car,0.9401004910469055,556,220,56,37
18,car,0.8838387727737427,295,209,59,41
18,car,0.7331060171127319,464,326,108,82
18,car,0.7092384696006775,505,284,84,56
18,car,0.685297966003418,251,183,59,36
18,truck,0.6685264110565186,666,329,93,76
18,car,0.6554366946220398,704,353,118,87
18,car,0.6331454515457153,626,221,59,49
18,person,0.627940833568573,744,357,21,13
18,car,0.5466776490211487,665,262,76,44
18,car,0.5402538776397705,207,208,54,33
19,car,0.9730690121650696,228,244,73,56
19,car,0.9559233784675598,556,221,57,37
19,car,0.8920107483863831,463,329,108,80
19,car,0.8671544790267944,297,208,60,41
19,car,0.8405336141586304,504,283,85,58
19,car,0.7868442535400391,627,220,60,49
19,car,0.7117666006088257,702,354,119,87
19,car,0.6636245250701904,105,249,61,41
19,truck,0.6476454138755798,668,329,96,81
19,car,0.6402433514595032,665,259,77,47
19,person,0.6274788975715637,743,360,22,13
19,car,0.6265726089477539,251,181,60,37
19,car,0.5656819939613342,208,208,54,33
20,car,0.9650114178657532,225,243,80,55
20,car,0.9384793043136597,556,220,58,40
20,car,0.8901912569999695,462,332,110,78
20,car,0.8447833061218262,298,208,60,40
20,car,0.811427116394043,706,357,116,88
20,car,0.7990313172340393,106,248,61,42
20,car,0.7897548675537109,505,284,84,55
20,truck,0.69044429063797,667,328,97,82
20,car,0.646010160446167,252,181,60,35
20,car,0.6234712600708008,208,207,55,33
21,car,0.9662970900535583,225,243,81,55
21,car,0.940143346786499,556,221,58,40
21,car,0.8721268773078918,299,208,59,40
21,car,0.8349086046218872,459,332,111,80
21,car,0.7958052158355713,505,286,83,50
21,car,0.7716370224952698,108,246,61,43
21,truck,0.7124601602554321,666,329,99,82
21,car,0.7016860842704773,209,207,55,33
21,car,0.6315361857414246,707,354,117,93
21,car,0.5681795477867126,252,181,60,35
21,car,0.5378932356834412,629,232,59,42
21,person,0.501062273979187,744,363,22,16
22,car,0.9631228446960449,237,245,70,50
22,car,0.9473681449890137,555,221,59,40
22,car,0.8548691868782043,503,286,85,50
22,car,0.8492280840873718,300,207,60,41
